String;String;Double;Double;Double;Double;Double;PhysicalAreas
name;code;width;high;prof;area;volume;
Pared Fachada Interior Cocina A202;;;;;;;
Pared Frontal Cocina A202;;;;;;;
Pared Lado Derecho Cocina A202;;;;;;;
Pared Lado Izquierdo Cocina A202;;;;;;;
Marco Vacio PLI Cocina L2;;;;;;;
Filo Marco Vacio PLI Cocina L2;;;;;;;
Filo1 Columna PFR Cocina A202;;;;;;;
Filo2 Columna PFR Cocina A202;;;;;;;
Filo Columna PLD Cocina A202;;;;;;;
Filo1 Columna PLI Cocina A202;;;;;;;
Filo2 Columna PLI Cocina A202;;;;;;;
Piso Cocina A202;;;;;;;
Guardascoba Cocina A202;;;;;;;
Techo Cocina A202;;;;;;;
Puerta Balcon A202;;;;;;;
Marco Puerta Balcon A202;;;;;;;
Filo Marco Puerta Balcon A202;;;;;;;
Pared Fachada Interior Balcon A202;;;;;;;
Pared Frontal Balcon A202;;;;;;;
Pared Lado Derecho Balcon A202;;;;;;;
Pared Lado Izquierdo Balcon A202;;;;;;;
Marco Vacio PFR Balcon A202;;;;;;;
Filo Marco Vacio PFR Balcon A202;;;;;;;
Marco Vacio PLD Balcon A202;;;;;;;
Filo Marco Vacio PLD Balcon A202;;;;;;;
Piso Balcon A202;;;;;;;
Guardascoba Balcon A202;;;;;;;
Techo Balcon A202;;;;;;;
Puerta Ingreso Piso2 CR23;;;;;;;
Marco Puerta Ingreso Piso2 CR23;;;;;;;
Filo Marco Puerta Ingreso Piso2 CR23;;;;;;;
Pared Fachada Interior Ingreso Piso2 CR23;;;;;;;
Pared Frontal Ingreso Piso2 CR23;;;;;;;
Pared Lado Derecho Ingreso Piso2 CR23;;;;;;;
Piso Ingreso Piso2 CR23;;;;;;;
Guardascoba Ingreso Piso2 CR23;;;;;;;
Marco Ingreso Escalera Piso1 CR23;;;;;;;
Filo Marco Ingreso Escalera Piso2 CR23;;;;;;;
Pared Fachada Interior Escalera Piso2 CR23;;;;;;;
Pared Frontal Escalera Piso2 CR23;;;;;;;
Pared Lado Derecho Escalera Piso2 CR23;;;;;;;
Pared Lado Izquierdo Escalera Piso2 CR23;;;;;;;
Filo Columna PLI Escalera Piso2 CR23;;;;;;;
Escalera Piso1 CR23;;;;;;;
Marco Puerta Pasillo Piso2 CR23;;;;;;;
Pared Frontal Pasillo Piso2 CR23;;;;;;;
Filo Columna PFR Pasillo Piso2 CR23;;;;;;;
Piso Pasillo Piso2 CR23;;;;;;;
Guardascoba Pasillo Piso2 CR23;;;;;;;
Techo Pasillo Piso2 CR23;;;;;;;
Placa Piso2 CR23;;;;;;;
Placa Piso3 CR23;;;;;;;
Pared Fachada Piso1 CR23;;;;;;;
Pared Fachada Piso1 CL46;;;;;;;
Pared Fachada Piso2 CR23;;;;;;;
Pared Fachada Piso2 CL46;;;;;;;
Filo Marco Exterior Fachada Puerta L4;;;;;;;
Filo Marco Interior Fachada Puerta L4;;;;;;;
Filo Marco Exterior Fachada Puerta Ingreso Piso2 CR23;;;;;;;
Filo Marco Interior Fachada Puerta Ingreso Piso2 CR23;;;;;;;
Filo Placa Fachada Piso3 CR23;;;;;;;
Filo Placa Fachada Piso3 CL46;;;;;;;
Techo Fachada Piso1 CL46;;;;;;;
Techo Fachada Piso1 CR23;;;;;;;
Techo Fachada Piso2 CL46;;;;;;;
Techo Fachada Piso2 CR23;;;;;;;
Anden Fachada CR23;;;;;;;
Marco Vacio Placa Piso3;;;;;;;
Filo Marco Vacio Placa Piso3;;;;;;;
