From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PLD Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PLD Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PLI Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PLI Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columna PLI Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Columnas PLI Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo1 Horizontal PFR Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PFI Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PFI Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PFI Local  L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PFI Local  L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PFR Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PFR Local1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PFR Sala Comedor A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PLD Baño L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PLD Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PLD Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PLI Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columna PLI Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Columnas PLI Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo2 Horizontal PFR Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo3 Columna PFI Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo3 Columna PFR Local1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo3 Columna PLD Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo4 Columna PFI Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo4 Columna PLD Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filo5 Horizontal PFI Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columna PLD Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Columnas PFI Local  L5;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Filos;PhysicalAreas;name;Filos Marco Caja Eléctrica L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Alcoba L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Alcoba1 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Alcoba2 A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Balcon A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Balcon A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Balcon Alcoba1 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Balcon Alcoba2 A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Baño  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Baño  L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Baño  L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Baño  L5;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Baño A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Baño A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Baño Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Baño L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Cocina  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Cocina A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Cocina A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Cocina L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Ingreso Piso2 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Local  L2;;Uno a Muchos Bidirecccional No.5
